subject,confidence,predicted_activity,actual_activity,is_correct,traffic_light,window_id
103,1.0,lying,lying,1,GREEN,103_262
103,1.0,lying,lying,1,GREEN,103_263
103,1.0,lying,lying,1,GREEN,103_264
103,1.0,lying,lying,1,GREEN,103_265
103,1.0,lying,lying,1,GREEN,103_266
103,1.0,lying,lying,1,GREEN,103_267
103,1.0,lying,lying,1,GREEN,103_268
103,1.0,lying,lying,1,GREEN,103_269
103,1.0,lying,lying,1,GREEN,103_270
103,1.0,lying,lying,1,GREEN,103_271
103,1.0,lying,lying,1,GREEN,103_272
103,1.0,lying,lying,1,GREEN,103_273
103,1.0,lying,lying,1,GREEN,103_274
103,1.0,lying,lying,1,GREEN,103_275
103,1.0,lying,lying,1,GREEN,103_276
103,1.0,lying,lying,1,GREEN,103_277
103,1.0,lying,lying,1,GREEN,103_278
103,1.0,lying,lying,1,GREEN,103_279
103,1.0,lying,lying,1,GREEN,103_280
103,1.0,lying,lying,1,GREEN,103_281
103,1.0,lying,lying,1,GREEN,103_282
103,1.0,lying,lying,1,GREEN,103_283
103,1.0,lying,lying,1,GREEN,103_284
103,1.0,lying,lying,1,GREEN,103_285
103,1.0,lying,lying,1,GREEN,103_286
103,1.0,lying,lying,1,GREEN,103_287
103,1.0,lying,lying,1,GREEN,103_288
103,0.9985,lying,lying,1,GREEN,103_289
103,1.0,lying,lying,1,GREEN,103_290
103,1.0,lying,lying,1,GREEN,103_291
103,1.0,lying,lying,1,GREEN,103_292
103,1.0,lying,lying,1,GREEN,103_293
103,1.0,lying,lying,1,GREEN,103_294
103,1.0,lying,lying,1,GREEN,103_295
103,1.0,lying,lying,1,GREEN,103_296
103,1.0,lying,lying,1,GREEN,103_297
103,1.0,lying,lying,1,GREEN,103_298
103,1.0,lying,lying,1,GREEN,103_299
103,1.0,lying,lying,1,GREEN,103_300
103,1.0,lying,lying,1,GREEN,103_301
103,1.0,lying,lying,1,GREEN,103_302
103,1.0,lying,lying,1,GREEN,103_303
103,1.0,lying,lying,1,GREEN,103_304
103,1.0,lying,lying,1,GREEN,103_305
103,0.9992,lying,lying,1,GREEN,103_306
103,1.0,lying,lying,1,GREEN,103_307
103,1.0,lying,lying,1,GREEN,103_308
103,0.9985,lying,lying,1,GREEN,103_309
103,1.0,lying,lying,1,GREEN,103_310
103,1.0,lying,lying,1,GREEN,103_311
103,1.0,lying,lying,1,GREEN,103_312
103,1.0,lying,lying,1,GREEN,103_313
103,0.9992,lying,lying,1,GREEN,103_314
103,1.0,lying,lying,1,GREEN,103_315
103,1.0,lying,lying,1,GREEN,103_316
103,1.0,lying,lying,1,GREEN,103_317
103,1.0,lying,lying,1,GREEN,103_318
103,1.0,lying,lying,1,GREEN,103_319
103,0.997,lying,lying,1,GREEN,103_320
103,0.9945,lying,lying,1,GREEN,103_321
103,0.9955,lying,lying,1,GREEN,103_322
103,1.0,lying,lying,1,GREEN,103_323
103,1.0,lying,lying,1,GREEN,103_324
103,1.0,lying,lying,1,GREEN,103_325
103,1.0,lying,lying,1,GREEN,103_326
103,1.0,lying,lying,1,GREEN,103_327
103,1.0,lying,lying,1,GREEN,103_328
103,1.0,lying,lying,1,GREEN,103_329
103,0.9913,lying,lying,1,GREEN,103_330
103,0.9923,lying,lying,1,GREEN,103_331
103,1.0,lying,lying,1,GREEN,103_332
103,1.0,lying,lying,1,GREEN,103_333
103,1.0,lying,lying,1,GREEN,103_334
103,1.0,lying,lying,1,GREEN,103_335
103,1.0,lying,lying,1,GREEN,103_336
103,1.0,lying,lying,1,GREEN,103_337
103,1.0,lying,lying,1,GREEN,103_338
103,1.0,lying,lying,1,GREEN,103_339
103,1.0,lying,lying,1,GREEN,103_340
103,1.0,lying,lying,1,GREEN,103_341
103,1.0,lying,lying,1,GREEN,103_342
103,1.0,lying,lying,1,GREEN,103_343
103,1.0,lying,lying,1,GREEN,103_344
103,1.0,lying,lying,1,GREEN,103_345
103,1.0,lying,lying,1,GREEN,103_346
103,1.0,lying,lying,1,GREEN,103_347
103,0.9896,lying,lying,1,GREEN,103_348
103,0.9911,lying,lying,1,GREEN,103_349
103,1.0,lying,lying,1,GREEN,103_350
103,1.0,lying,lying,1,GREEN,103_351
103,1.0,lying,lying,1,GREEN,103_352
103,1.0,lying,lying,1,GREEN,103_353
103,1.0,lying,lying,1,GREEN,103_354
103,1.0,lying,lying,1,GREEN,103_355
103,1.0,lying,lying,1,GREEN,103_356
103,1.0,lying,lying,1,GREEN,103_357
103,0.9916,lying,lying,1,GREEN,103_358
103,0.9923,lying,lying,1,GREEN,103_359
103,0.9896,lying,lying,1,GREEN,103_360
103,0.9955,lying,lying,1,GREEN,103_361
103,0.9974,lying,lying,1,GREEN,103_362
103,0.9955,lying,lying,1,GREEN,103_363
103,0.9955,lying,lying,1,GREEN,103_364
103,1.0,lying,lying,1,GREEN,103_365
103,0.997,lying,lying,1,GREEN,103_366
103,0.997,lying,lying,1,GREEN,103_367
103,1.0,lying,lying,1,GREEN,103_368
103,1.0,lying,lying,1,GREEN,103_369
103,1.0,lying,lying,1,GREEN,103_370
103,1.0,lying,lying,1,GREEN,103_371
103,1.0,lying,lying,1,GREEN,103_372
103,1.0,lying,lying,1,GREEN,103_373
103,1.0,lying,lying,1,GREEN,103_374
103,1.0,lying,lying,1,GREEN,103_375
103,1.0,lying,lying,1,GREEN,103_376
103,1.0,lying,lying,1,GREEN,103_377
103,1.0,lying,lying,1,GREEN,103_378
103,1.0,lying,lying,1,GREEN,103_379
103,1.0,lying,lying,1,GREEN,103_380
103,1.0,lying,lying,1,GREEN,103_381
103,1.0,lying,lying,1,GREEN,103_382
103,1.0,lying,lying,1,GREEN,103_383
103,1.0,lying,lying,1,GREEN,103_384
103,1.0,lying,lying,1,GREEN,103_385
103,1.0,lying,lying,1,GREEN,103_386
103,1.0,lying,lying,1,GREEN,103_387
103,1.0,lying,lying,1,GREEN,103_388
103,1.0,lying,lying,1,GREEN,103_389
103,1.0,lying,lying,1,GREEN,103_390
103,1.0,lying,lying,1,GREEN,103_391
103,1.0,lying,lying,1,GREEN,103_392
103,1.0,lying,lying,1,GREEN,103_393
103,1.0,lying,lying,1,GREEN,103_394
103,1.0,lying,lying,1,GREEN,103_395
103,1.0,lying,lying,1,GREEN,103_396
103,1.0,lying,lying,1,GREEN,103_397
103,1.0,lying,lying,1,GREEN,103_398
103,1.0,lying,lying,1,GREEN,103_399
103,1.0,lying,lying,1,GREEN,103_400
103,1.0,lying,lying,1,GREEN,103_401
103,1.0,lying,lying,1,GREEN,103_402
103,1.0,lying,lying,1,GREEN,103_403
103,1.0,lying,lying,1,GREEN,103_404
103,1.0,lying,lying,1,GREEN,103_405
103,1.0,lying,lying,1,GREEN,103_406
103,1.0,lying,lying,1,GREEN,103_407
103,0.999,lying,lying,1,GREEN,103_408
103,1.0,lying,lying,1,GREEN,103_409
103,1.0,lying,lying,1,GREEN,103_410
103,0.9901,lying,lying,1,GREEN,103_411
103,0.9743,lying,lying,1,GREEN,103_412
103,0.9485,lying,lying,1,GREEN,103_413
103,0.7395,lying,lying,1,YELLOW,103_414
103,0.6198,lying,lying,1,YELLOW,103_415
103,0.5129,lying,lying,1,YELLOW,103_416
103,0.644,lying,lying,1,YELLOW,103_417
103,0.7184,lying,lying,1,YELLOW,103_418
103,0.722,lying,lying,1,YELLOW,103_419
103,0.5965,lying,lying,1,YELLOW,103_420
103,0.4909,lying,lying,1,YELLOW,103_421
103,0.51,lying,lying,1,YELLOW,103_422
103,0.4916,lying,lying,1,YELLOW,103_423
103,0.3789,lying,lying,1,RED,103_424
103,0.243,lying,lying,1,RED,103_425
103,0.3098,walking,lying,0,RED,103_426
103,0.281,lying,lying,1,RED,103_427
103,0.4051,lying,lying,1,RED,103_428
103,0.373,lying,lying,1,RED,103_429
103,0.4004,lying,lying,1,RED,103_430
103,0.2772,lying,lying,1,RED,103_431
103,0.3473,lying,lying,1,RED,103_432
103,0.3445,lying,lying,1,RED,103_433
103,0.2675,walking,lying,0,RED,103_434
103,0.3058,walking,lying,0,RED,103_435
103,0.3196,walking,lying,0,RED,103_436
103,0.3276,walking,lying,0,RED,103_437
103,0.3499,walking,lying,0,RED,103_438
103,0.2158,sitting,lying,0,RED,103_439
103,0.8565,sitting,sitting,1,GREEN,103_440
103,0.9122,sitting,sitting,1,GREEN,103_441
103,0.7343,sitting,sitting,1,YELLOW,103_442
103,0.4941,sitting,sitting,1,YELLOW,103_443
103,0.406,sitting,sitting,1,RED,103_444
103,0.4545,sitting,sitting,1,YELLOW,103_445
103,0.4666,sitting,sitting,1,YELLOW,103_446
103,0.7755,sitting,sitting,1,GREEN,103_447
103,0.7119,sitting,sitting,1,YELLOW,103_448
103,0.7775,sitting,sitting,1,GREEN,103_449
103,0.6208,sitting,sitting,1,YELLOW,103_450
103,0.6098,sitting,sitting,1,YELLOW,103_451
103,0.791,sitting,sitting,1,GREEN,103_452
103,0.8748,sitting,sitting,1,GREEN,103_453
103,0.64,sitting,sitting,1,YELLOW,103_454
103,0.7936,sitting,sitting,1,GREEN,103_455
103,0.8659,sitting,sitting,1,GREEN,103_456
103,0.708,sitting,sitting,1,YELLOW,103_457
103,0.8046,sitting,sitting,1,GREEN,103_458
103,0.9007,sitting,sitting,1,GREEN,103_459
103,0.9351,sitting,sitting,1,GREEN,103_460
103,0.6986,sitting,sitting,1,YELLOW,103_461
103,0.7651,sitting,sitting,1,GREEN,103_462
103,0.7711,sitting,sitting,1,GREEN,103_463
103,0.6973,sitting,sitting,1,YELLOW,103_464
103,0.6991,sitting,sitting,1,YELLOW,103_465
103,0.8154,sitting,sitting,1,GREEN,103_466
103,0.7925,sitting,sitting,1,GREEN,103_467
103,0.8309,sitting,sitting,1,GREEN,103_468
103,0.6938,sitting,sitting,1,YELLOW,103_469
103,0.7836,sitting,sitting,1,GREEN,103_470
103,0.7992,sitting,sitting,1,GREEN,103_471
103,0.6912,sitting,sitting,1,YELLOW,103_472
103,0.7002,sitting,sitting,1,YELLOW,103_473
103,0.7023,sitting,sitting,1,YELLOW,103_474
103,0.8017,sitting,sitting,1,GREEN,103_475
103,0.7098,sitting,sitting,1,YELLOW,103_476
103,0.8286,sitting,sitting,1,GREEN,103_477
103,0.7904,sitting,sitting,1,GREEN,103_478
103,0.8319,sitting,sitting,1,GREEN,103_479
103,0.8394,sitting,sitting,1,GREEN,103_480
103,0.8858,sitting,sitting,1,GREEN,103_481
103,0.8613,sitting,sitting,1,GREEN,103_482
103,0.8827,sitting,sitting,1,GREEN,103_483
103,0.7293,sitting,sitting,1,YELLOW,103_484
103,0.7584,sitting,sitting,1,GREEN,103_485
103,0.6031,sitting,sitting,1,YELLOW,103_486
103,0.6136,sitting,sitting,1,YELLOW,103_487
103,0.5965,sitting,sitting,1,YELLOW,103_488
103,0.7515,sitting,sitting,1,GREEN,103_489
103,0.8309,sitting,sitting,1,GREEN,103_490
103,0.8139,sitting,sitting,1,GREEN,103_491
103,0.8093,sitting,sitting,1,GREEN,103_492
103,0.7698,sitting,sitting,1,GREEN,103_493
103,0.7915,sitting,sitting,1,GREEN,103_494
103,0.8022,sitting,sitting,1,GREEN,103_495
103,0.807,sitting,sitting,1,GREEN,103_496
103,0.7861,sitting,sitting,1,GREEN,103_497
103,0.7854,sitting,sitting,1,GREEN,103_498
103,0.7498,sitting,sitting,1,YELLOW,103_499
103,0.7688,sitting,sitting,1,GREEN,103_500
103,0.7302,sitting,sitting,1,YELLOW,103_501
103,0.7894,sitting,sitting,1,GREEN,103_502
103,0.591,sitting,sitting,1,YELLOW,103_503
103,0.6893,sitting,sitting,1,YELLOW,103_504
103,0.7871,sitting,sitting,1,GREEN,103_505
103,0.8132,sitting,sitting,1,GREEN,103_506
103,0.8247,sitting,sitting,1,GREEN,103_507
103,0.8191,sitting,sitting,1,GREEN,103_508
103,0.8207,sitting,sitting,1,GREEN,103_509
103,0.7492,sitting,sitting,1,YELLOW,103_510
103,0.7607,sitting,sitting,1,GREEN,103_511
103,0.8346,sitting,sitting,1,GREEN,103_512
103,0.9105,sitting,sitting,1,GREEN,103_513
103,0.885,sitting,sitting,1,GREEN,103_514
103,0.8823,sitting,sitting,1,GREEN,103_515
103,0.9382,sitting,sitting,1,GREEN,103_516
103,0.9522,sitting,sitting,1,GREEN,103_517
103,0.9152,sitting,sitting,1,GREEN,103_518
103,0.8205,sitting,sitting,1,GREEN,103_519
103,0.9475,sitting,sitting,1,GREEN,103_520
103,0.9507,sitting,sitting,1,GREEN,103_521
103,0.9781,sitting,sitting,1,GREEN,103_522
103,0.9699,sitting,sitting,1,GREEN,103_523
103,0.9737,sitting,sitting,1,GREEN,103_524
103,0.9595,sitting,sitting,1,GREEN,103_525
103,0.9635,sitting,sitting,1,GREEN,103_526
103,0.9669,sitting,sitting,1,GREEN,103_527
103,0.9606,sitting,sitting,1,GREEN,103_528
103,0.9662,sitting,sitting,1,GREEN,103_529
103,0.9687,sitting,sitting,1,GREEN,103_530
103,0.9663,sitting,sitting,1,GREEN,103_531
103,0.9664,sitting,sitting,1,GREEN,103_532
103,0.9389,sitting,sitting,1,GREEN,103_533
103,0.9717,sitting,sitting,1,GREEN,103_534
103,0.9717,sitting,sitting,1,GREEN,103_535
103,0.9706,sitting,sitting,1,GREEN,103_536
103,0.9722,sitting,sitting,1,GREEN,103_537
103,0.9754,sitting,sitting,1,GREEN,103_538
103,0.9739,sitting,sitting,1,GREEN,103_539
103,0.9702,sitting,sitting,1,GREEN,103_540
103,0.9702,sitting,sitting,1,GREEN,103_541
103,0.9733,sitting,sitting,1,GREEN,103_542
103,0.974,sitting,sitting,1,GREEN,103_543
103,0.9735,sitting,sitting,1,GREEN,103_544
103,0.9691,sitting,sitting,1,GREEN,103_545
103,0.9651,sitting,sitting,1,GREEN,103_546
103,0.9184,sitting,sitting,1,GREEN,103_547
103,0.891,sitting,sitting,1,GREEN,103_548
103,0.9359,sitting,sitting,1,GREEN,103_549
103,0.8568,sitting,sitting,1,GREEN,103_550
103,0.8126,sitting,sitting,1,GREEN,103_551
103,0.8493,sitting,sitting,1,GREEN,103_552
103,0.8353,sitting,sitting,1,GREEN,103_553
103,0.8529,sitting,sitting,1,GREEN,103_554
103,0.8321,sitting,sitting,1,GREEN,103_555
103,0.8287,sitting,sitting,1,GREEN,103_556
103,0.8947,sitting,sitting,1,GREEN,103_557
103,0.7891,sitting,sitting,1,GREEN,103_558
103,0.8149,sitting,sitting,1,GREEN,103_559
103,0.6163,sitting,sitting,1,YELLOW,103_560
103,0.6829,sitting,sitting,1,YELLOW,103_561
103,0.7158,sitting,sitting,1,YELLOW,103_562
103,0.7918,sitting,sitting,1,GREEN,103_563
103,0.8999,sitting,sitting,1,GREEN,103_564
103,0.8755,sitting,sitting,1,GREEN,103_565
103,0.7723,sitting,sitting,1,GREEN,103_566
103,0.8532,sitting,sitting,1,GREEN,103_567
103,0.7597,sitting,sitting,1,GREEN,103_568
103,0.8731,sitting,sitting,1,GREEN,103_569
103,0.9412,sitting,sitting,1,GREEN,103_570
103,0.9598,sitting,sitting,1,GREEN,103_571
103,0.9314,sitting,sitting,1,GREEN,103_572
103,0.9583,sitting,sitting,1,GREEN,103_573
103,0.9569,sitting,sitting,1,GREEN,103_574
103,0.9374,sitting,sitting,1,GREEN,103_575
103,0.9695,sitting,sitting,1,GREEN,103_576
103,0.9658,sitting,sitting,1,GREEN,103_577
103,0.9338,sitting,sitting,1,GREEN,103_578
103,0.9298,sitting,sitting,1,GREEN,103_579
103,0.963,sitting,sitting,1,GREEN,103_580
103,0.9695,sitting,sitting,1,GREEN,103_581
