subject,confidence,predicted_activity,actual_activity,is_correct,traffic_light
103,0.9918,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
103,0.9955,lying,lying,1,GREEN
103,0.9941,lying,lying,1,GREEN
103,0.9941,lying,lying,1,GREEN
103,0.9941,lying,lying,1,GREEN
103,0.9941,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
103,0.9941,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
103,0.9955,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
103,0.9955,lying,lying,1,GREEN
103,0.9911,lying,lying,1,GREEN
103,0.9896,lying,lying,1,GREEN
103,0.9955,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
103,0.9955,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
103,0.9941,lying,lying,1,GREEN
103,0.9955,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
103,0.9926,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
103,0.9911,lying,lying,1,GREEN
103,0.9955,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
103,0.9955,lying,lying,1,GREEN
103,0.9955,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
103,0.9941,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
103,0.9985,lying,lying,1,GREEN
103,0.9948,lying,lying,1,GREEN
103,0.9941,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,0.9985,lying,lying,1,GREEN
103,0.9985,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,0.9985,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,0.9992,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,0.9985,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,0.9992,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
103,0.9945,lying,lying,1,GREEN
103,0.9955,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,0.9913,lying,lying,1,GREEN
103,0.9923,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,0.9896,lying,lying,1,GREEN
103,0.9911,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,0.9916,lying,lying,1,GREEN
103,0.9923,lying,lying,1,GREEN
103,0.9896,lying,lying,1,GREEN
103,0.9955,lying,lying,1,GREEN
103,0.9974,lying,lying,1,GREEN
103,0.9955,lying,lying,1,GREEN
103,0.9955,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
103,0.997,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,0.999,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,1.0,lying,lying,1,GREEN
103,0.9901,lying,lying,1,GREEN
103,0.9743,lying,lying,1,GREEN
103,0.9485,lying,lying,1,GREEN
103,0.7395,lying,lying,1,YELLOW
103,0.6198,lying,lying,1,YELLOW
103,0.5129,lying,lying,1,YELLOW
103,0.644,lying,lying,1,YELLOW
103,0.7184,lying,lying,1,YELLOW
103,0.722,lying,lying,1,YELLOW
103,0.5965,lying,lying,1,YELLOW
103,0.4909,lying,lying,1,YELLOW
103,0.51,lying,lying,1,YELLOW
103,0.4916,lying,lying,1,YELLOW
103,0.3789,lying,lying,1,RED
103,0.243,lying,lying,1,RED
103,0.3098,walking,lying,0,RED
103,0.281,lying,lying,1,RED
103,0.4051,lying,lying,1,RED
103,0.373,lying,lying,1,RED
103,0.4004,lying,lying,1,RED
103,0.2772,lying,lying,1,RED
103,0.3473,lying,lying,1,RED
103,0.3445,lying,lying,1,RED
103,0.2675,walking,lying,0,RED
103,0.3058,walking,lying,0,RED
103,0.3196,walking,lying,0,RED
103,0.3276,walking,lying,0,RED
103,0.3499,walking,lying,0,RED
103,0.2158,sitting,lying,0,RED
103,0.8565,sitting,sitting,1,GREEN
103,0.9122,sitting,sitting,1,GREEN
103,0.7343,sitting,sitting,1,YELLOW
103,0.4941,sitting,sitting,1,YELLOW
103,0.406,sitting,sitting,1,RED
103,0.4545,sitting,sitting,1,YELLOW
103,0.4666,sitting,sitting,1,YELLOW
103,0.7755,sitting,sitting,1,GREEN
103,0.7119,sitting,sitting,1,YELLOW
103,0.7775,sitting,sitting,1,GREEN
103,0.6208,sitting,sitting,1,YELLOW
103,0.6098,sitting,sitting,1,YELLOW
103,0.791,sitting,sitting,1,GREEN
103,0.8748,sitting,sitting,1,GREEN
103,0.64,sitting,sitting,1,YELLOW
103,0.7936,sitting,sitting,1,GREEN
103,0.8659,sitting,sitting,1,GREEN
103,0.708,sitting,sitting,1,YELLOW
103,0.8046,sitting,sitting,1,GREEN
103,0.9007,sitting,sitting,1,GREEN
103,0.9351,sitting,sitting,1,GREEN
103,0.6986,sitting,sitting,1,YELLOW
103,0.7651,sitting,sitting,1,GREEN
103,0.7711,sitting,sitting,1,GREEN
103,0.6973,sitting,sitting,1,YELLOW
103,0.6991,sitting,sitting,1,YELLOW
103,0.8154,sitting,sitting,1,GREEN
103,0.7925,sitting,sitting,1,GREEN
103,0.8309,sitting,sitting,1,GREEN
103,0.6938,sitting,sitting,1,YELLOW
103,0.7836,sitting,sitting,1,GREEN
103,0.7992,sitting,sitting,1,GREEN
103,0.6912,sitting,sitting,1,YELLOW
103,0.7002,sitting,sitting,1,YELLOW
103,0.7023,sitting,sitting,1,YELLOW
103,0.8017,sitting,sitting,1,GREEN
103,0.7098,sitting,sitting,1,YELLOW
103,0.8286,sitting,sitting,1,GREEN
103,0.7904,sitting,sitting,1,GREEN
103,0.8319,sitting,sitting,1,GREEN
103,0.8394,sitting,sitting,1,GREEN
103,0.8858,sitting,sitting,1,GREEN
103,0.8613,sitting,sitting,1,GREEN
103,0.8827,sitting,sitting,1,GREEN
103,0.7293,sitting,sitting,1,YELLOW
103,0.7584,sitting,sitting,1,GREEN
103,0.6031,sitting,sitting,1,YELLOW
103,0.6136,sitting,sitting,1,YELLOW
103,0.5965,sitting,sitting,1,YELLOW
103,0.7515,sitting,sitting,1,GREEN
103,0.8309,sitting,sitting,1,GREEN
103,0.8139,sitting,sitting,1,GREEN
103,0.8093,sitting,sitting,1,GREEN
103,0.7698,sitting,sitting,1,GREEN
103,0.7915,sitting,sitting,1,GREEN
103,0.8022,sitting,sitting,1,GREEN
103,0.807,sitting,sitting,1,GREEN
103,0.7861,sitting,sitting,1,GREEN
103,0.7854,sitting,sitting,1,GREEN
103,0.7498,sitting,sitting,1,YELLOW
103,0.7688,sitting,sitting,1,GREEN
103,0.7302,sitting,sitting,1,YELLOW
103,0.7894,sitting,sitting,1,GREEN
103,0.591,sitting,sitting,1,YELLOW
103,0.6893,sitting,sitting,1,YELLOW
103,0.7871,sitting,sitting,1,GREEN
103,0.8132,sitting,sitting,1,GREEN
103,0.8247,sitting,sitting,1,GREEN
103,0.8191,sitting,sitting,1,GREEN
103,0.8207,sitting,sitting,1,GREEN
103,0.7492,sitting,sitting,1,YELLOW
103,0.7607,sitting,sitting,1,GREEN
103,0.8346,sitting,sitting,1,GREEN
103,0.9105,sitting,sitting,1,GREEN
103,0.885,sitting,sitting,1,GREEN
103,0.8823,sitting,sitting,1,GREEN
103,0.9382,sitting,sitting,1,GREEN
103,0.9522,sitting,sitting,1,GREEN
103,0.9152,sitting,sitting,1,GREEN
103,0.8205,sitting,sitting,1,GREEN
103,0.9475,sitting,sitting,1,GREEN
103,0.9507,sitting,sitting,1,GREEN
103,0.9781,sitting,sitting,1,GREEN
103,0.9699,sitting,sitting,1,GREEN
103,0.9737,sitting,sitting,1,GREEN
103,0.9595,sitting,sitting,1,GREEN
103,0.9635,sitting,sitting,1,GREEN
103,0.9669,sitting,sitting,1,GREEN
103,0.9606,sitting,sitting,1,GREEN
103,0.9662,sitting,sitting,1,GREEN
103,0.9687,sitting,sitting,1,GREEN
103,0.9663,sitting,sitting,1,GREEN
103,0.9664,sitting,sitting,1,GREEN
103,0.9389,sitting,sitting,1,GREEN
103,0.9717,sitting,sitting,1,GREEN
103,0.9717,sitting,sitting,1,GREEN
103,0.9706,sitting,sitting,1,GREEN
103,0.9722,sitting,sitting,1,GREEN
103,0.9754,sitting,sitting,1,GREEN
103,0.9739,sitting,sitting,1,GREEN
103,0.9702,sitting,sitting,1,GREEN
103,0.9702,sitting,sitting,1,GREEN
103,0.9733,sitting,sitting,1,GREEN
103,0.974,sitting,sitting,1,GREEN
103,0.9735,sitting,sitting,1,GREEN
103,0.9691,sitting,sitting,1,GREEN
103,0.9651,sitting,sitting,1,GREEN
103,0.9184,sitting,sitting,1,GREEN
103,0.891,sitting,sitting,1,GREEN
103,0.9359,sitting,sitting,1,GREEN
103,0.8568,sitting,sitting,1,GREEN
103,0.8126,sitting,sitting,1,GREEN
103,0.8493,sitting,sitting,1,GREEN
103,0.8353,sitting,sitting,1,GREEN
103,0.8529,sitting,sitting,1,GREEN
103,0.8321,sitting,sitting,1,GREEN
103,0.8287,sitting,sitting,1,GREEN
103,0.8947,sitting,sitting,1,GREEN
103,0.7891,sitting,sitting,1,GREEN
103,0.8149,sitting,sitting,1,GREEN
103,0.6163,sitting,sitting,1,YELLOW
103,0.6829,sitting,sitting,1,YELLOW
103,0.7158,sitting,sitting,1,YELLOW
103,0.7918,sitting,sitting,1,GREEN
103,0.8999,sitting,sitting,1,GREEN
103,0.8755,sitting,sitting,1,GREEN
103,0.7723,sitting,sitting,1,GREEN
103,0.8532,sitting,sitting,1,GREEN
103,0.7597,sitting,sitting,1,GREEN
103,0.8731,sitting,sitting,1,GREEN
103,0.9412,sitting,sitting,1,GREEN
103,0.9598,sitting,sitting,1,GREEN
103,0.9314,sitting,sitting,1,GREEN
103,0.9583,sitting,sitting,1,GREEN
103,0.9569,sitting,sitting,1,GREEN
103,0.9374,sitting,sitting,1,GREEN
103,0.9695,sitting,sitting,1,GREEN
103,0.9658,sitting,sitting,1,GREEN
103,0.9338,sitting,sitting,1,GREEN
103,0.9298,sitting,sitting,1,GREEN
103,0.963,sitting,sitting,1,GREEN
103,0.9695,sitting,sitting,1,GREEN
103,0.9666,sitting,sitting,1,GREEN
103,0.9635,sitting,sitting,1,GREEN
103,0.962,sitting,sitting,1,GREEN
103,0.9657,sitting,sitting,1,GREEN
103,0.9338,sitting,sitting,1,GREEN
103,0.9336,sitting,sitting,1,GREEN
103,0.965,sitting,sitting,1,GREEN
103,0.965,sitting,sitting,1,GREEN
103,0.9636,sitting,sitting,1,GREEN
103,0.9643,sitting,sitting,1,GREEN
103,0.968,sitting,sitting,1,GREEN
103,0.8987,sitting,sitting,1,GREEN
103,0.9687,sitting,sitting,1,GREEN
103,0.9747,sitting,sitting,1,GREEN
103,0.9416,sitting,sitting,1,GREEN
103,0.9392,sitting,sitting,1,GREEN
103,0.9721,sitting,sitting,1,GREEN
103,0.9699,sitting,sitting,1,GREEN
103,0.9699,sitting,sitting,1,GREEN
103,0.9706,sitting,sitting,1,GREEN
103,0.975,sitting,sitting,1,GREEN
103,0.9725,sitting,sitting,1,GREEN
103,0.9681,sitting,sitting,1,GREEN
103,0.9311,sitting,sitting,1,GREEN
103,0.9678,sitting,sitting,1,GREEN
103,0.934,sitting,sitting,1,GREEN
103,0.931,sitting,sitting,1,GREEN
103,0.9206,sitting,sitting,1,GREEN
103,0.947,sitting,sitting,1,GREEN
103,0.9559,sitting,sitting,1,GREEN
103,0.9625,sitting,sitting,1,GREEN
103,0.9612,sitting,sitting,1,GREEN
103,0.9676,sitting,sitting,1,GREEN
103,0.9159,sitting,sitting,1,GREEN
103,0.9355,sitting,sitting,1,GREEN
103,0.9353,sitting,sitting,1,GREEN
103,0.8972,sitting,sitting,1,GREEN
103,0.8279,sitting,sitting,1,GREEN
103,0.9249,sitting,sitting,1,GREEN
103,0.8548,sitting,sitting,1,GREEN
103,0.8899,sitting,sitting,1,GREEN
103,0.9007,sitting,sitting,1,GREEN
103,0.9462,sitting,sitting,1,GREEN
103,0.95,sitting,sitting,1,GREEN
103,0.9356,sitting,sitting,1,GREEN
103,0.9727,sitting,sitting,1,GREEN
103,0.9398,sitting,sitting,1,GREEN
103,0.9713,sitting,sitting,1,GREEN
103,0.9634,sitting,sitting,1,GREEN
103,0.975,sitting,sitting,1,GREEN
103,0.944,sitting,sitting,1,GREEN
103,0.9816,sitting,sitting,1,GREEN
103,0.9458,sitting,sitting,1,GREEN
103,0.98,sitting,sitting,1,GREEN
103,0.9784,sitting,sitting,1,GREEN
103,0.979,sitting,sitting,1,GREEN
103,0.8162,sitting,sitting,1,GREEN
103,0.901,sitting,sitting,1,GREEN
103,0.9472,sitting,sitting,1,GREEN
103,0.9648,sitting,sitting,1,GREEN
103,0.9474,sitting,sitting,1,GREEN
103,0.8495,sitting,sitting,1,GREEN
103,0.8815,sitting,sitting,1,GREEN
103,0.7895,sitting,sitting,1,GREEN
103,0.7903,sitting,sitting,1,GREEN
103,0.7914,sitting,sitting,1,GREEN
103,0.8394,sitting,sitting,1,GREEN
103,0.8134,sitting,sitting,1,GREEN
103,0.8531,sitting,sitting,1,GREEN
103,0.8684,sitting,sitting,1,GREEN
103,0.8654,sitting,sitting,1,GREEN
103,0.8752,sitting,sitting,1,GREEN
103,0.8849,sitting,sitting,1,GREEN
103,0.8765,sitting,sitting,1,GREEN
103,0.8405,sitting,sitting,1,GREEN
103,0.8661,sitting,sitting,1,GREEN
103,0.8664,sitting,sitting,1,GREEN
103,0.8756,sitting,sitting,1,GREEN
103,0.8649,sitting,sitting,1,GREEN
103,0.8434,sitting,sitting,1,GREEN
103,0.8279,sitting,sitting,1,GREEN
103,0.82,sitting,sitting,1,GREEN
103,0.8118,sitting,sitting,1,GREEN
103,0.7751,sitting,sitting,1,GREEN
103,0.8188,sitting,sitting,1,GREEN
103,0.8191,sitting,sitting,1,GREEN
103,0.8209,sitting,sitting,1,GREEN
103,0.8174,sitting,sitting,1,GREEN
103,0.7923,sitting,sitting,1,GREEN
103,0.8158,sitting,sitting,1,GREEN
103,0.8184,sitting,sitting,1,GREEN
103,0.8214,sitting,sitting,1,GREEN
103,0.8255,sitting,sitting,1,GREEN
103,0.8392,sitting,sitting,1,GREEN
103,0.8509,sitting,sitting,1,GREEN
103,0.8638,sitting,sitting,1,GREEN
103,0.8161,sitting,sitting,1,GREEN
103,0.8466,sitting,sitting,1,GREEN
103,0.8549,sitting,sitting,1,GREEN
103,0.8608,sitting,sitting,1,GREEN
103,0.8492,sitting,sitting,1,GREEN
103,0.8281,sitting,sitting,1,GREEN
103,0.8262,sitting,sitting,1,GREEN
103,0.8343,sitting,sitting,1,GREEN
103,0.8076,sitting,sitting,1,GREEN
103,0.8547,sitting,sitting,1,GREEN
103,0.8368,sitting,sitting,1,GREEN
