window_id,subject,confidence,predicted_activity,actual_activity,is_correct,traffic_light
101_56,101,0.9891,lying,lying,1,GREEN
101_57,101,0.9891,lying,lying,1,GREEN
101_58,101,0.9891,lying,lying,1,GREEN
101_59,101,0.9891,lying,lying,1,GREEN
101_60,101,0.9891,lying,lying,1,GREEN
101_61,101,0.9891,lying,lying,1,GREEN
101_62,101,0.9891,lying,lying,1,GREEN
101_63,101,0.9891,lying,lying,1,GREEN
101_64,101,0.9891,lying,lying,1,GREEN
101_65,101,0.9891,lying,lying,1,GREEN
101_66,101,0.9891,lying,lying,1,GREEN
101_67,101,0.9891,lying,lying,1,GREEN
101_68,101,0.9891,lying,lying,1,GREEN
101_69,101,0.9891,lying,lying,1,GREEN
101_70,101,0.9891,lying,lying,1,GREEN
101_71,101,0.9891,lying,lying,1,GREEN
101_72,101,0.9891,lying,lying,1,GREEN
101_73,101,0.9891,lying,lying,1,GREEN
101_74,101,0.9891,lying,lying,1,GREEN
101_75,101,0.9891,lying,lying,1,GREEN
101_76,101,0.9891,lying,lying,1,GREEN
101_77,101,0.9891,lying,lying,1,GREEN
101_78,101,0.9891,lying,lying,1,GREEN
101_79,101,0.9891,lying,lying,1,GREEN
101_80,101,0.9891,lying,lying,1,GREEN
101_81,101,0.9891,lying,lying,1,GREEN
101_82,101,0.9891,lying,lying,1,GREEN
101_83,101,0.9891,lying,lying,1,GREEN
101_84,101,0.9891,lying,lying,1,GREEN
101_85,101,0.9891,lying,lying,1,GREEN
101_86,101,0.9891,lying,lying,1,GREEN
101_87,101,0.9891,lying,lying,1,GREEN
101_88,101,0.9891,lying,lying,1,GREEN
101_89,101,0.9891,lying,lying,1,GREEN
101_90,101,0.9891,lying,lying,1,GREEN
101_91,101,0.9891,lying,lying,1,GREEN
101_92,101,0.9891,lying,lying,1,GREEN
101_93,101,0.9891,lying,lying,1,GREEN
101_94,101,0.9891,lying,lying,1,GREEN
101_95,101,0.9891,lying,lying,1,GREEN
101_96,101,0.9891,lying,lying,1,GREEN
101_97,101,0.9891,lying,lying,1,GREEN
101_98,101,0.9891,lying,lying,1,GREEN
101_99,101,0.9891,lying,lying,1,GREEN
101_100,101,0.9891,lying,lying,1,GREEN
101_101,101,0.9891,lying,lying,1,GREEN
101_102,101,0.9891,lying,lying,1,GREEN
101_103,101,0.9891,lying,lying,1,GREEN
101_104,101,0.9891,lying,lying,1,GREEN
101_105,101,0.9891,lying,lying,1,GREEN
101_106,101,0.9891,lying,lying,1,GREEN
101_107,101,0.9891,lying,lying,1,GREEN
101_108,101,0.9891,lying,lying,1,GREEN
101_109,101,0.9891,lying,lying,1,GREEN
101_110,101,0.9891,lying,lying,1,GREEN
101_111,101,0.9891,lying,lying,1,GREEN
101_112,101,0.9891,lying,lying,1,GREEN
101_113,101,0.9891,lying,lying,1,GREEN
101_114,101,0.9891,lying,lying,1,GREEN
101_115,101,0.9891,lying,lying,1,GREEN
101_116,101,0.9891,lying,lying,1,GREEN
101_117,101,0.9891,lying,lying,1,GREEN
101_118,101,0.9891,lying,lying,1,GREEN
101_119,101,0.9891,lying,lying,1,GREEN
101_120,101,0.9891,lying,lying,1,GREEN
101_121,101,0.9891,lying,lying,1,GREEN
101_122,101,0.9891,lying,lying,1,GREEN
101_123,101,0.9891,lying,lying,1,GREEN
101_124,101,0.9891,lying,lying,1,GREEN
101_125,101,0.9891,lying,lying,1,GREEN
101_126,101,0.9891,lying,lying,1,GREEN
101_127,101,0.9891,lying,lying,1,GREEN
101_128,101,0.9891,lying,lying,1,GREEN
101_129,101,0.9891,lying,lying,1,GREEN
101_130,101,0.9891,lying,lying,1,GREEN
101_131,101,0.9891,lying,lying,1,GREEN
101_132,101,0.9891,lying,lying,1,GREEN
101_133,101,0.9891,lying,lying,1,GREEN
101_134,101,0.9891,lying,lying,1,GREEN
101_135,101,0.9891,lying,lying,1,GREEN
101_136,101,0.9891,lying,lying,1,GREEN
101_137,101,0.9891,lying,lying,1,GREEN
101_138,101,0.9893,lying,lying,1,GREEN
101_139,101,0.9903,lying,lying,1,GREEN
101_140,101,0.9918,lying,lying,1,GREEN
101_141,101,0.9918,lying,lying,1,GREEN
101_142,101,0.9918,lying,lying,1,GREEN
101_143,101,0.9918,lying,lying,1,GREEN
101_144,101,0.9918,lying,lying,1,GREEN
101_145,101,0.9918,lying,lying,1,GREEN
101_146,101,0.9918,lying,lying,1,GREEN
101_147,101,0.9918,lying,lying,1,GREEN
101_148,101,0.9918,lying,lying,1,GREEN
101_149,101,0.9918,lying,lying,1,GREEN
101_150,101,0.9918,lying,lying,1,GREEN
101_151,101,0.9918,lying,lying,1,GREEN
101_152,101,0.9918,lying,lying,1,GREEN
101_153,101,0.9918,lying,lying,1,GREEN
101_154,101,0.9918,lying,lying,1,GREEN
101_155,101,0.9918,lying,lying,1,GREEN
101_156,101,0.9918,lying,lying,1,GREEN
101_157,101,0.9918,lying,lying,1,GREEN
101_158,101,0.9911,lying,lying,1,GREEN
101_159,101,0.9918,lying,lying,1,GREEN
101_160,101,0.9918,lying,lying,1,GREEN
101_161,101,0.9918,lying,lying,1,GREEN
101_162,101,0.9918,lying,lying,1,GREEN
101_163,101,0.9918,lying,lying,1,GREEN
101_164,101,0.9918,lying,lying,1,GREEN
101_165,101,0.9918,lying,lying,1,GREEN
101_166,101,0.9918,lying,lying,1,GREEN
101_167,101,0.9918,lying,lying,1,GREEN
101_168,101,0.9918,lying,lying,1,GREEN
101_169,101,0.9918,lying,lying,1,GREEN
101_170,101,0.9918,lying,lying,1,GREEN
101_171,101,0.9918,lying,lying,1,GREEN
101_172,101,0.9918,lying,lying,1,GREEN
101_173,101,0.9918,lying,lying,1,GREEN
101_174,101,0.9918,lying,lying,1,GREEN
101_175,101,0.9918,lying,lying,1,GREEN
101_176,101,0.9918,lying,lying,1,GREEN
101_177,101,0.9918,lying,lying,1,GREEN
101_178,101,0.9918,lying,lying,1,GREEN
101_179,101,0.9918,lying,lying,1,GREEN
101_180,101,0.9918,lying,lying,1,GREEN
101_181,101,0.9918,lying,lying,1,GREEN
101_182,101,0.9918,lying,lying,1,GREEN
101_183,101,0.9918,lying,lying,1,GREEN
101_184,101,0.9918,lying,lying,1,GREEN
101_185,101,0.9918,lying,lying,1,GREEN
101_186,101,0.9918,lying,lying,1,GREEN
101_187,101,0.9918,lying,lying,1,GREEN
101_188,101,0.9918,lying,lying,1,GREEN
101_189,101,0.9918,lying,lying,1,GREEN
101_190,101,0.9918,lying,lying,1,GREEN
101_191,101,0.9918,lying,lying,1,GREEN
101_192,101,0.9918,lying,lying,1,GREEN
101_193,101,0.9918,lying,lying,1,GREEN
101_194,101,0.9918,lying,lying,1,GREEN
101_195,101,0.9918,lying,lying,1,GREEN
101_196,101,0.9918,lying,lying,1,GREEN
101_197,101,0.9918,lying,lying,1,GREEN
101_198,101,0.9918,lying,lying,1,GREEN
101_199,101,0.9918,lying,lying,1,GREEN
101_200,101,0.9918,lying,lying,1,GREEN
101_201,101,0.9918,lying,lying,1,GREEN
101_202,101,0.9918,lying,lying,1,GREEN
101_203,101,0.9918,lying,lying,1,GREEN
101_204,101,0.9918,lying,lying,1,GREEN
101_205,101,0.9918,lying,lying,1,GREEN
101_206,101,0.9918,lying,lying,1,GREEN
101_207,101,0.9918,lying,lying,1,GREEN
101_208,101,0.9918,lying,lying,1,GREEN
101_209,101,0.9918,lying,lying,1,GREEN
101_210,101,0.9918,lying,lying,1,GREEN
101_211,101,0.9918,lying,lying,1,GREEN
101_212,101,0.9918,lying,lying,1,GREEN
101_213,101,0.9918,lying,lying,1,GREEN
101_214,101,0.9918,lying,lying,1,GREEN
101_215,101,0.9918,lying,lying,1,GREEN
101_216,101,0.9918,lying,lying,1,GREEN
101_217,101,0.9918,lying,lying,1,GREEN
101_218,101,0.9918,lying,lying,1,GREEN
101_219,101,0.9797,lying,lying,1,GREEN
101_220,101,0.9851,lying,lying,1,GREEN
101_221,101,0.9763,lying,lying,1,GREEN
101_222,101,0.9918,lying,lying,1,GREEN
101_223,101,0.9918,lying,lying,1,GREEN
101_224,101,0.9777,lying,lying,1,GREEN
101_225,101,0.9746,lying,lying,1,GREEN
101_226,101,0.8942,lying,lying,1,GREEN
101_227,101,0.6787,lying,lying,1,YELLOW
101_228,101,0.5851,vacuuming,lying,0,YELLOW
101_229,101,0.5654,vacuuming,lying,0,YELLOW
101_230,101,0.4628,vacuuming,lying,0,YELLOW
101_231,101,0.4115,vacuuming,lying,0,RED
101_232,101,0.3905,vacuuming,lying,0,RED
101_233,101,0.4366,vacuuming,lying,0,RED
101_234,101,0.5806,vacuuming,lying,0,YELLOW
101_235,101,0.5861,vacuuming,lying,0,YELLOW
101_236,101,0.5723,vacuuming,lying,0,YELLOW
101_237,101,0.5505,vacuuming,lying,0,YELLOW
101_238,101,0.5002,vacuuming,lying,0,YELLOW
101_239,101,0.5152,vacuuming,lying,0,YELLOW
101_240,101,0.4617,vacuuming,lying,0,YELLOW
101_241,101,0.4487,vacuuming,lying,0,RED
101_242,101,0.4521,vacuuming,lying,0,YELLOW
101_243,101,0.418,vacuuming,lying,0,RED
101_244,101,0.444,vacuuming,lying,0,RED
101_245,101,0.4407,vacuuming,lying,0,RED
101_246,101,0.4031,vacuuming,lying,0,RED
101_247,101,0.409,vacuuming,lying,0,RED
101_248,101,0.3991,vacuuming,lying,0,RED
101_249,101,0.443,vacuuming,lying,0,RED
101_250,101,0.4155,vacuuming,lying,0,RED
101_251,101,0.4013,vacuuming,lying,0,RED
101_252,101,0.4617,vacuuming,lying,0,YELLOW
101_253,101,0.3974,vacuuming,lying,0,RED
101_254,101,0.3254,vacuuming,lying,0,RED
101_255,101,0.3747,vacuuming,lying,0,RED
101_256,101,0.4276,vacuuming,lying,0,RED
101_257,101,0.4858,vacuuming,lying,0,YELLOW
101_258,101,0.4922,vacuuming,lying,0,YELLOW
101_259,101,0.4152,vacuuming,lying,0,RED
101_260,101,0.3922,vacuuming,lying,0,RED
101_261,101,0.4194,vacuuming,lying,0,RED
101_262,101,0.4438,vacuuming,lying,0,RED
101_263,101,0.4372,vacuuming,lying,0,RED
101_264,101,0.4271,vacuuming,lying,0,RED
101_265,101,0.3637,vacuuming,lying,0,RED
101_266,101,0.4859,vacuuming,lying,0,YELLOW
101_267,101,0.4667,vacuuming,lying,0,YELLOW
101_268,101,0.4446,vacuuming,lying,0,RED
101_269,101,0.4085,vacuuming,lying,0,RED
101_270,101,0.4454,vacuuming,lying,0,RED
101_271,101,0.4494,vacuuming,lying,0,RED
101_272,101,0.4419,vacuuming,lying,0,RED
101_273,101,0.4259,vacuuming,lying,0,RED
101_274,101,0.4136,vacuuming,lying,0,RED
101_275,101,0.3983,vacuuming,lying,0,RED
101_276,101,0.3971,vacuuming,lying,0,RED
101_277,101,0.4611,vacuuming,lying,0,YELLOW
101_278,101,0.4551,vacuuming,lying,0,YELLOW
101_279,101,0.4507,vacuuming,lying,0,YELLOW
101_280,101,0.4413,vacuuming,lying,0,RED
101_281,101,0.4574,vacuuming,lying,0,YELLOW
101_282,101,0.4388,vacuuming,lying,0,RED
101_283,101,0.4556,vacuuming,lying,0,YELLOW
101_284,101,0.4757,vacuuming,lying,0,YELLOW
101_285,101,0.45,vacuuming,lying,0,RED
101_286,101,0.4177,vacuuming,lying,0,RED
101_287,101,0.448,vacuuming,lying,0,RED
101_288,101,0.3057,lying,lying,1,RED
101_289,101,0.3705,vacuuming,lying,0,RED
101_290,101,0.3288,vacuuming,lying,0,RED
101_291,101,0.4722,vacuuming,lying,0,YELLOW
101_292,101,0.4844,vacuuming,lying,0,YELLOW
101_293,101,0.4882,vacuuming,lying,0,YELLOW
101_294,101,0.457,vacuuming,lying,0,YELLOW
101_295,101,0.4852,vacuuming,lying,0,YELLOW
101_296,101,0.4094,vacuuming,lying,0,RED
101_297,101,0.4499,vacuuming,lying,0,RED
101_298,101,0.2925,vacuuming,lying,0,RED
101_299,101,0.3821,vacuuming,lying,0,RED
101_300,101,0.3577,vacuuming,lying,0,RED
101_301,101,0.3785,vacuuming,lying,0,RED
101_302,101,0.4176,vacuuming,lying,0,RED
101_303,101,0.3856,vacuuming,lying,0,RED
101_304,101,0.4835,vacuuming,lying,0,YELLOW
101_305,101,0.4462,vacuuming,lying,0,RED
101_306,101,0.4442,vacuuming,lying,0,RED
101_307,101,0.3744,vacuuming,lying,0,RED
101_308,101,0.3758,vacuuming,lying,0,RED
101_309,101,0.4263,vacuuming,lying,0,RED
101_310,101,0.4777,vacuuming,lying,0,YELLOW
101_311,101,0.4371,vacuuming,lying,0,RED
101_312,101,0.4385,vacuuming,lying,0,RED
101_313,101,0.4519,vacuuming,lying,0,YELLOW
101_314,101,0.4494,vacuuming,lying,0,RED
101_315,101,0.4061,vacuuming,lying,0,RED
101_316,101,0.3922,vacuuming,lying,0,RED
101_317,101,0.4021,vacuuming,lying,0,RED
101_318,101,0.5064,vacuuming,lying,0,YELLOW
101_319,101,0.5171,vacuuming,lying,0,YELLOW
101_320,101,0.5687,lying,lying,1,YELLOW
101_321,101,0.6261,lying,lying,1,YELLOW
101_322,101,0.4683,lying,lying,1,YELLOW
101_323,101,0.4274,lying,lying,1,RED
101_324,101,0.4644,lying,lying,1,YELLOW
101_325,101,0.6891,lying,lying,1,YELLOW
101_326,101,0.6442,lying,lying,1,YELLOW
101_327,101,0.8643,lying,lying,1,GREEN
101_328,101,0.9567,lying,lying,1,GREEN
101_329,101,0.9718,lying,lying,1,GREEN
101_330,101,0.9804,lying,lying,1,GREEN
101_331,101,0.9817,lying,lying,1,GREEN
101_332,101,0.9824,lying,lying,1,GREEN
101_333,101,0.988,lying,lying,1,GREEN
101_334,101,0.9877,lying,lying,1,GREEN
101_335,101,0.9836,lying,lying,1,GREEN
101_336,101,0.9891,lying,lying,1,GREEN
101_337,101,0.9896,lying,lying,1,GREEN
101_338,101,0.9738,lying,lying,1,GREEN
101_339,101,0.9845,lying,lying,1,GREEN
101_340,101,0.9913,lying,lying,1,GREEN
101_341,101,0.9921,lying,lying,1,GREEN
101_342,101,0.9921,lying,lying,1,GREEN
101_343,101,0.9908,lying,lying,1,GREEN
101_344,101,0.9894,lying,lying,1,GREEN
101_345,101,0.9901,lying,lying,1,GREEN
101_346,101,0.9906,lying,lying,1,GREEN
101_347,101,0.9906,lying,lying,1,GREEN
101_348,101,0.9876,lying,lying,1,GREEN
101_349,101,0.9835,lying,lying,1,GREEN
101_350,101,0.9854,lying,lying,1,GREEN
101_351,101,0.9891,lying,lying,1,GREEN
101_352,101,0.9861,lying,lying,1,GREEN
101_353,101,0.9861,lying,lying,1,GREEN
101_354,101,0.9861,lying,lying,1,GREEN
101_355,101,0.9861,lying,lying,1,GREEN
101_356,101,0.9876,lying,lying,1,GREEN
101_357,101,0.9876,lying,lying,1,GREEN
101_358,101,0.9861,lying,lying,1,GREEN
101_359,101,0.9861,lying,lying,1,GREEN
101_360,101,0.9861,lying,lying,1,GREEN
101_361,101,0.9861,lying,lying,1,GREEN
101_362,101,0.9861,lying,lying,1,GREEN
101_363,101,0.9861,lying,lying,1,GREEN
101_364,101,0.9861,lying,lying,1,GREEN
101_365,101,0.9861,lying,lying,1,GREEN
101_366,101,0.9861,lying,lying,1,GREEN
101_367,101,0.9861,lying,lying,1,GREEN
101_368,101,0.9861,lying,lying,1,GREEN
101_369,101,0.9861,lying,lying,1,GREEN
101_370,101,0.9861,lying,lying,1,GREEN
101_371,101,0.9861,lying,lying,1,GREEN
101_372,101,0.9861,lying,lying,1,GREEN
101_373,101,0.9861,lying,lying,1,GREEN
101_374,101,0.9861,lying,lying,1,GREEN
101_375,101,0.9861,lying,lying,1,GREEN
101_376,101,0.9861,lying,lying,1,GREEN
101_377,101,0.9861,lying,lying,1,GREEN
101_378,101,0.9861,lying,lying,1,GREEN
101_379,101,0.9861,lying,lying,1,GREEN
101_380,101,0.9861,lying,lying,1,GREEN
101_381,101,0.9861,lying,lying,1,GREEN
101_382,101,0.9854,lying,lying,1,GREEN
101_383,101,0.9861,lying,lying,1,GREEN
101_384,101,0.9861,lying,lying,1,GREEN
101_385,101,0.9861,lying,lying,1,GREEN
101_386,101,0.9861,lying,lying,1,GREEN
101_387,101,0.9861,lying,lying,1,GREEN
101_388,101,0.9861,lying,lying,1,GREEN
101_389,101,0.9861,lying,lying,1,GREEN
101_390,101,0.9861,lying,lying,1,GREEN
101_391,101,0.9861,lying,lying,1,GREEN
101_392,101,0.9861,lying,lying,1,GREEN
101_393,101,0.9861,lying,lying,1,GREEN
101_394,101,0.9861,lying,lying,1,GREEN
101_395,101,0.9861,lying,lying,1,GREEN
101_396,101,0.9861,lying,lying,1,GREEN
101_397,101,0.9861,lying,lying,1,GREEN
101_398,101,0.9835,lying,lying,1,GREEN
101_399,101,0.9835,lying,lying,1,GREEN
101_400,101,0.9861,lying,lying,1,GREEN
101_401,101,0.9861,lying,lying,1,GREEN
101_402,101,0.9861,lying,lying,1,GREEN
101_403,101,0.9861,lying,lying,1,GREEN
101_404,101,0.9861,lying,lying,1,GREEN
101_405,101,0.9861,lying,lying,1,GREEN
101_406,101,0.9861,lying,lying,1,GREEN
101_407,101,0.9861,lying,lying,1,GREEN
101_408,101,0.9861,lying,lying,1,GREEN
101_409,101,0.9861,lying,lying,1,GREEN
101_410,101,0.9861,lying,lying,1,GREEN
101_411,101,0.9861,lying,lying,1,GREEN
101_412,101,0.9861,lying,lying,1,GREEN
101_413,101,0.9861,lying,lying,1,GREEN
101_414,101,0.9861,lying,lying,1,GREEN
101_415,101,0.9861,lying,lying,1,GREEN
101_416,101,0.9861,lying,lying,1,GREEN
101_417,101,0.9861,lying,lying,1,GREEN
101_418,101,0.9861,lying,lying,1,GREEN
101_419,101,0.9861,lying,lying,1,GREEN
101_420,101,0.9861,lying,lying,1,GREEN
101_421,101,0.9861,lying,lying,1,GREEN
101_422,101,0.9861,lying,lying,1,GREEN
101_423,101,0.9861,lying,lying,1,GREEN
101_424,101,0.9861,lying,lying,1,GREEN
101_425,101,0.9861,lying,lying,1,GREEN
101_426,101,0.9861,lying,lying,1,GREEN
101_427,101,0.9861,lying,lying,1,GREEN
101_428,101,0.9861,lying,lying,1,GREEN
101_429,101,0.9861,lying,lying,1,GREEN
101_430,101,0.9861,lying,lying,1,GREEN
101_431,101,0.9861,lying,lying,1,GREEN
101_432,101,0.9861,lying,lying,1,GREEN
101_433,101,0.9861,lying,lying,1,GREEN
101_434,101,0.9861,lying,lying,1,GREEN
101_435,101,0.9854,lying,lying,1,GREEN
101_436,101,0.9861,lying,lying,1,GREEN
101_437,101,0.9861,lying,lying,1,GREEN
101_438,101,0.9861,lying,lying,1,GREEN
101_439,101,0.9861,lying,lying,1,GREEN
101_440,101,0.9861,lying,lying,1,GREEN
101_441,101,0.9861,lying,lying,1,GREEN
101_442,101,0.9861,lying,lying,1,GREEN
101_443,101,0.9861,lying,lying,1,GREEN
101_444,101,0.9861,lying,lying,1,GREEN
101_445,101,0.9861,lying,lying,1,GREEN
101_446,101,0.9861,lying,lying,1,GREEN
101_447,101,0.9861,lying,lying,1,GREEN
101_448,101,0.9861,lying,lying,1,GREEN
101_449,101,0.9861,lying,lying,1,GREEN
101_450,101,0.9861,lying,lying,1,GREEN
101_451,101,0.9861,lying,lying,1,GREEN
101_452,101,0.9861,lying,lying,1,GREEN
101_453,101,0.9861,lying,lying,1,GREEN
101_454,101,0.9861,lying,lying,1,GREEN
101_455,101,0.9861,lying,lying,1,GREEN
101_456,101,0.9861,lying,lying,1,GREEN
101_457,101,0.9861,lying,lying,1,GREEN
101_458,101,0.9861,lying,lying,1,GREEN
101_459,101,0.9861,lying,lying,1,GREEN
101_460,101,0.9861,lying,lying,1,GREEN
101_461,101,0.9861,lying,lying,1,GREEN
101_462,101,0.9861,lying,lying,1,GREEN
101_463,101,0.9861,lying,lying,1,GREEN
101_464,101,0.9861,lying,lying,1,GREEN
101_465,101,0.9861,lying,lying,1,GREEN
101_466,101,0.9861,lying,lying,1,GREEN
101_467,101,0.9861,lying,lying,1,GREEN
101_468,101,0.9861,lying,lying,1,GREEN
101_469,101,0.9861,lying,lying,1,GREEN
101_470,101,0.9861,lying,lying,1,GREEN
101_471,101,0.9861,lying,lying,1,GREEN
101_472,101,0.9861,lying,lying,1,GREEN
101_473,101,0.9861,lying,lying,1,GREEN
101_474,101,0.9861,lying,lying,1,GREEN
101_475,101,0.9861,lying,lying,1,GREEN
101_476,101,0.9861,lying,lying,1,GREEN
101_477,101,0.9861,lying,lying,1,GREEN
101_478,101,0.9847,lying,lying,1,GREEN
101_479,101,0.9847,lying,lying,1,GREEN
101_480,101,0.9861,lying,lying,1,GREEN
101_481,101,0.9861,lying,lying,1,GREEN
101_482,101,0.9861,lying,lying,1,GREEN
101_483,101,0.9861,lying,lying,1,GREEN
101_484,101,0.9861,lying,lying,1,GREEN
101_485,101,0.9861,lying,lying,1,GREEN
101_486,101,0.9861,lying,lying,1,GREEN
101_487,101,0.9861,lying,lying,1,GREEN
101_488,101,0.9861,lying,lying,1,GREEN
101_489,101,0.9861,lying,lying,1,GREEN
101_490,101,0.9861,lying,lying,1,GREEN
101_491,101,0.9861,lying,lying,1,GREEN
101_492,101,0.9861,lying,lying,1,GREEN
101_493,101,0.9861,lying,lying,1,GREEN
101_494,101,0.9861,lying,lying,1,GREEN
101_495,101,0.9861,lying,lying,1,GREEN
101_496,101,0.9861,lying,lying,1,GREEN
101_497,101,0.9861,lying,lying,1,GREEN
101_498,101,0.9861,lying,lying,1,GREEN
101_499,101,0.9861,lying,lying,1,GREEN
101_500,101,0.9861,lying,lying,1,GREEN
101_501,101,0.9861,lying,lying,1,GREEN
101_502,101,0.9861,lying,lying,1,GREEN
101_503,101,0.9861,lying,lying,1,GREEN
101_504,101,0.9861,lying,lying,1,GREEN
101_505,101,0.9861,lying,lying,1,GREEN
101_506,101,0.9847,lying,lying,1,GREEN
101_507,101,0.9861,lying,lying,1,GREEN
101_508,101,0.9861,lying,lying,1,GREEN
101_509,101,0.9861,lying,lying,1,GREEN
101_510,101,0.9861,lying,lying,1,GREEN
101_511,101,0.9861,lying,lying,1,GREEN
101_512,101,0.9861,lying,lying,1,GREEN
101_513,101,0.9861,lying,lying,1,GREEN
101_514,101,0.9861,lying,lying,1,GREEN
101_515,101,0.9861,lying,lying,1,GREEN
101_516,101,0.9861,lying,lying,1,GREEN
101_517,101,0.9861,lying,lying,1,GREEN
101_518,101,0.9861,lying,lying,1,GREEN
101_519,101,0.9861,lying,lying,1,GREEN
101_520,101,0.9854,lying,lying,1,GREEN
101_521,101,0.9847,lying,lying,1,GREEN
101_522,101,0.9876,lying,lying,1,GREEN
101_523,101,0.9876,lying,lying,1,GREEN
101_524,101,0.9727,lying,lying,1,GREEN
101_525,101,0.9646,lying,lying,1,GREEN
101_526,101,0.8793,lying,lying,1,GREEN
101_527,101,0.7289,lying,lying,1,YELLOW
101_528,101,0.4594,lying,lying,1,YELLOW
101_529,101,0.4779,lying,lying,1,YELLOW
101_530,101,0.6106,lying,lying,1,YELLOW
101_531,101,0.6035,lying,lying,1,YELLOW
101_532,101,0.5181,lying,lying,1,YELLOW
101_533,101,0.4284,lying,lying,1,RED
101_534,101,0.4166,lying,lying,1,RED
101_535,101,0.4076,lying,lying,1,RED
101_536,101,0.4024,lying,lying,1,RED
101_537,101,0.3966,lying,lying,1,RED
101_538,101,0.3971,lying,lying,1,RED
101_539,101,0.3995,lying,lying,1,RED
101_540,101,0.4351,lying,lying,1,RED
101_541,101,0.3956,lying,lying,1,RED
101_542,101,0.4378,lying,sitting,0,RED
101_543,101,0.3935,lying,sitting,0,RED
101_544,101,0.4011,lying,sitting,0,RED
101_545,101,0.3611,lying,sitting,0,RED
101_546,101,0.3041,lying,sitting,0,RED
101_547,101,0.2511,lying,sitting,0,RED
101_548,101,0.2355,running,sitting,0,RED
101_549,101,0.2872,lying,sitting,0,RED
101_550,101,0.3832,lying,sitting,0,RED
101_551,101,0.4124,lying,sitting,0,RED
101_552,101,0.446,lying,sitting,0,RED
101_553,101,0.4412,lying,sitting,0,RED
101_554,101,0.4466,lying,sitting,0,RED
101_555,101,0.4038,lying,sitting,0,RED
101_556,101,0.3712,lying,sitting,0,RED
101_557,101,0.342,lying,sitting,0,RED
101_558,101,0.3938,lying,sitting,0,RED
101_559,101,0.598,lying,sitting,0,YELLOW
101_560,101,0.4815,lying,sitting,0,YELLOW
101_561,101,0.5695,lying,sitting,0,YELLOW
101_562,101,0.5448,lying,sitting,0,YELLOW
101_563,101,0.6061,lying,sitting,0,YELLOW
101_564,101,0.6259,lying,sitting,0,YELLOW
101_565,101,0.6139,lying,sitting,0,YELLOW
101_566,101,0.6082,lying,sitting,0,YELLOW
101_567,101,0.5386,lying,sitting,0,YELLOW
101_568,101,0.638,lying,sitting,0,YELLOW
101_569,101,0.6322,lying,sitting,0,YELLOW
101_570,101,0.5952,lying,sitting,0,YELLOW
101_571,101,0.6031,lying,sitting,0,YELLOW
101_572,101,0.5953,lying,sitting,0,YELLOW
